"RatioEnvelopes — how a within-family comparison is derived, and why it is far tighter than the absolute envelopes. Every column except J, L and M is a live formula; J, L and M come from the bootstrap in corpus_summary.py (B = 10,000, seed 20260823). See the notes below the table.",,,,,,,,,,,,,,
Comparison,Numerator,Denominator,"TPS, numerator (Corpus P50)","TPS, denominator (Corpus P50)","R, numerator","R, denominator",Ratio central = (R_num/R_den) x (TPS_den/TPS_num),Check: ratio of the Table 7 location-based figures,"Ratio central, deposited (corpus_summary.py, unrounded)",Deposited vs workbook chain,Ratio low (5th percentile),Ratio high (95th percentile),Low as a factor on the central,High as a factor on the central
"Model switch, fixed setting",gpt-5.6-sol (minimal),gpt-5.6-luna (minimal),52.91,129.9,1.44,1.6,2.209601,2.209601,2.207,-0.001177,2.052,2.372,0.929769,1.074762
"Model switch, fixed setting",gpt-5.6-sol (medium),gpt-5.6-luna (medium),53.64,134.91,1.47,1.58,2.339999,2.339999,2.34,1e-06,2.153,2.521,0.920085,1.07735
"Model switch, fixed setting",gpt-5.6-sol (xhigh),gpt-5.6-luna (xhigh),55.21,130.2,1.91,2.58,1.74585,1.74585,1.749,0.001804,1.545,1.867,0.883362,1.067467
"Effort dial, same model",gpt-5.6-sol (xhigh),gpt-5.6-sol (minimal),55.21,52.91,1.91,1.44,1.271133,1.271133,1.276,0.003829,1.154,1.369,0.904389,1.072884
"Effort dial, same model",gpt-5.6-luna (xhigh),gpt-5.6-luna (minimal),130.2,129.9,2.58,1.6,1.608785,1.608785,1.611,0.001377,1.501,1.776,0.931719,1.102421
"Effort dial, same model",gpt-5.6-terra (xhigh),gpt-5.6-terra (minimal),95.22,96.85,1.68,1.38,1.238231,1.238231,1.239,0.000621,1.151,1.313,0.928975,1.059726
"Effort dial, same model",gpt-5.5 (xhigh),gpt-5.5 (minimal),59.91,59.88,2.46,1.71,1.437876,1.437876,1.439,0.000782,1.277,1.589,0.887422,1.104239
"Effort dial, same model",gpt-5.4 (xhigh),gpt-5.4 (non-reasoning),95.16,85.94,3.89,1,3.5131,3.5131,3.509,-0.001167,3.216,3.955,0.9165,1.127102
"Model switch, fixed setting",gpt-5.4 (xhigh),gpt-5.4-nano (xhigh),95.16,154.37,3.89,3.7,1.705518,1.705518,1.706,0.000283,1.54,1.947,0.902696,1.141266
"Model switch, fixed setting",gpt-5.4 (xhigh),gpt-5.4-mini (xhigh),95.16,145.78,3.89,12.49,0.477123,0.477123,0.476,-0.002354,0.36,0.667,0.756303,1.401261
"Model switch, fixed setting",gpt-5.5 (xhigh),gpt-5.6-terra (xhigh),59.91,95.22,2.46,1.68,2.327312,2.327312,2.321,-0.002712,2.174,2.582,0.936665,1.112452
Notes,,,,,,,,,,,,,,
1. What the ratio is.,"Each row divides one variant’s per-token emissions by another’s. Table 6 builds every variant from the same chain: anchor Wh/1,000 tokens × TPS adjustment × PUE × PQPC × reasoning multiplier, then Table 7 multiplies by grid intensity. Within the GPT-5.x family the anchor (1.9233 Wh/1,000 tokens), the PUE (1.05), the PQPC (2.99) and the grid intensity are identical on both sides, so they cancel exactly and only the two measured terms survive.",,,,,,,,,,,,,
2. The formula (column H).,"ratio = (R_numerator / R_denominator) × (TPS_denominator / TPS_numerator). Energy per token is inversely proportional to throughput and directly proportional to the reasoning multiplier, so throughput enters inverted. Worked example, row 3: (1.44 / 1.60) × (129.90 / 52.91) = 2.21. Column I is the independent check – the same ratio taken from the finished Table 7 gCO₂e figures – and must equal column H to the last digit.",,,,,,,,,,,,,
3. The envelope (columns L and M).,"A joint bootstrap of the two measured terms in corpus_summary.py (B = 10,000 resamples, seed 20260823). One resample draws, for each side independently: the variant’s collection days with replacement, taking the median of the daily-median TPS; and the central reasoning cell’s requests with replacement, taking the median multiplier. The ratio is formed from those four draws. The 5th and 95th percentiles of the 10,000 ratios, expressed as factors on the point ratio (columns N and O), give the bounds. The anchor, PUE, PQPC and grid intensity are not resampled, because they cancel; sample size therefore enters through the resampling, which is why the thinnest cell (gpt-5.4-mini xhigh, n = 26) gives the widest row.",,,,,,,,,,,,,
4. The marginal reading (columns T and U).,"What a reader would get by combining the absolute bounds of Table 8 instead: low = numerator’s low ÷ denominator’s high, high = numerator’s high ÷ denominator’s low (columns P–S are the Table 8 location-based bounds for the two variants). This treats factors that are identical on both sides as though they could vary independently, and is wrong by roughly two orders of magnitude. It is shown to make that point, not as a result.",,,,,,,,,,,,,
5. Column K — difference from the workbook chain.,"Column J is the deposited figure, computed from the raw records at full precision; column H is rebuilt from the Corpus sheet, which stores TPS and R rounded to two decimals. That rounding accounts for differences below about 0.5%.",,,,,,,,,,,,,
6. Labels.,The baseline of the gpt-5.4 effort-dial row is named “gpt-5.4 (non-reasoning)” in Tables 6 – 8 and “gpt-5.4 (minimal)” in ratios.csv. They are the same variant. The Tables 6 – 8 name is used here so the lookups resolve.,,,,,,,,,,,,,
7. Provenance.,"Formulas: this sheet. Bootstrap: corpus_summary.py against the frozen corpus (14,317 ok records, 46 variants), written to ratios.csv. Both are in the deposit.",,,,,,,,,,,,,
