"ShapeCorrection — Appendix D.5.8 (v1.0.0, 11 Sep 2026). Two-point fits E = a·N_in + b·N_out to Jegham et al. [15] v6 short (100/300) and long (10,000/1,500) prompts; shape factor S. BLUE = input.",,,,,,
,GPT-4o-mini (anchor),GPT-4o,,,,
Short prompt Wh (100 in / 300 out) [15],0.577,0.423,,,,
"Long prompt Wh (10,000 in / 1,500 out) [15]",3.098,2.875,,,,
"a = Wh per 1,000 input tokens",0.022421,0.08,,,,
"b = Wh per 1,000 output tokens",1.91586,1.383333,,,,
ρ = a / b,0.011703,0.057831,,,,
Prefill share of the short-prompt query,0.003886,0.018913,,,,
"Derivation: a·100 + b·300 = short; a·10,000 + b·1,500 = long  ⇒  a = (long − 5·short)/9,500 per token.",,,,,,
Shape factor S = (1 + ρ·N_in/(R·N_out)) / (1 + ρ/3),,,,,,
Case,N_in,N_out,R,S (ρ anchor),S (ρ GPT-4o),
Anchor shape,100.0,300.0,1.0,1,1,
Reasoning central shape,1000.0,1000.0,1.0,1.007772,1.037825,
Jegham long prompt,10000.0,1500.0,1.0,1.07383,1.359338,
"Long-context turn, sol high (Table 10 last row)",50000.0,1000.0,1.64,1.351523,2.710892,
"Table 10 last row (sol high × 1,000 out × S anchor)",,,,,,
,LB low,LB central,LB high,MB low,MB central,MB high
gCO2e per query,1.316967,6.897804,14.338229,0.192508,1.008291,2.0959
Reasoning-variant overstatement bound ρ(R−1)/(3R) at R = 12.49 (gpt-5.4-mini xhigh),0.003589,0.017734,,,,
